State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Maharashtra,Pune,Pune(Moshi),Potato,Local,Local,06/04/2025,1000,1800,1400
Maharashtra,Pune,Pune(Moshi),"Sweet Potato",Other,Local,06/04/2025,2000,2000,2000
Maharashtra,Pune,Pune(Pimpri),Drumstick,Other,Local,06/04/2025,3000,3000,3000
Maharashtra,Raigad,Murud,Rice,Other,Local,06/04/2025,2500,2700,2600
Maharashtra,Raigad,Panvel,Cucumbar(Kheera),Other,Local,06/04/2025,2500,3000,2750
Maharashtra,Raigad,Panvel,Snakeguard,Other,Local,06/04/2025,4000,5000,4500
Maharashtra,Sholapur,"Mangal Wedha",Coriander(Leaves),Other,Local,06/04/2025,1,6,3
Maharashtra,Sholapur,"Mangal Wedha",Cucumbar(Kheera),Other,Local,06/04/2025,1000,3300,2200
"NCT of Delhi",Delhi,Keshopur,Potato,Potato,FAQ,06/04/2025,1000,1400,1200
Odisha,Balasore,Jaleswar,Cucumbar(Kheera),Cucumbar,FAQ,06/04/2025,2300,2700,2500
Odisha,Balasore,Jaleswar,Garlic,Other,FAQ,06/04/2025,7800,8200,8000
Odisha,Balasore,Jaleswar,"Water Melon","Water Melon",Medium,06/04/2025,1300,1700,1500
Odisha,Boudh,Boudh,Cauliflower,Other,FAQ,06/04/2025,2500,3500,3000
Odisha,Boudh,Khunthabandha,Onion,Other,Non-FAQ,06/04/2025,2500,3500,3000
Odisha,Boudh,Khunthabandha,"Water Melon",Other,Small,06/04/2025,500,1000,700
Odisha,Dhenkanal,Hindol,"Banana - Green",Other,FAQ,06/04/2025,2400,2600,2500
Odisha,Dhenkanal,Hindol,Drumstick,Drumstick,FAQ,06/04/2025,2800,3200,3000
Odisha,Dhenkanal,Hindol,Onion,Other,Non-FAQ,06/04/2025,2500,3000,2800
Odisha,Dhenkanal,Hindol,"Pointed gourd (Parval)",Other,FAQ,06/04/2025,5000,6000,5500
Odisha,Koraput,Koraput,"Green Chilli",Other,FAQ,06/04/2025,5400,5600,5500
Odisha,Koraput,Koraput,Tomato,Other,Non-FAQ,06/04/2025,1400,1600,1500
Punjab,Bhatinda,"Bhagta Bhai Ka",Pumpkin,Other,FAQ,06/04/2025,2100,2100,2100
Punjab,Bhatinda,"Bhagta Bhai Ka",Tomato,Other,FAQ,06/04/2025,2100,2100,2100
Punjab,Gurdaspur,Batala,Brinjal,Other,FAQ,06/04/2025,1800,2200,2000
Punjab,Gurdaspur,Batala,Carrot,Other,FAQ,06/04/2025,1200,1800,1500
Punjab,Gurdaspur,Batala,Cucumbar(Kheera),Other,FAQ,06/04/2025,1200,1800,1500
Punjab,Gurdaspur,Batala,"Green Chilli",Other,FAQ,06/04/2025,3000,3500,3200
Punjab,Hoshiarpur,"Tanda Urmur",Brinjal,Other,FAQ,06/04/2025,1500,2000,1800
